,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
0,Aliados Centro Automotivo,ChIJu0dBZpi_uZQRQFydZl2_NwI,-21.149973,-47.8019367,4.9,"['car_repair', 'car_wash', 'point_of_interest', 'establishment']",,,,,,
1,CENTRO AUTOMOTIVO PORTO SEGURO - HITCAR,ChIJJ_4zW9m-uZQRHt1mr18zsLg,-21.194888,-47.8076005,4.3,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
2,Tubat Centro Automotivo,ChIJtb5Du1JtuZQRfdrhNd1nOTs,-21.1161545,-47.8273259,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
3,Pepe Automotive Services,ChIJncuwZa6_uZQRXwdY2DBs7vA,-21.1591587,-47.79750199999999,4.5,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
4,Bacana Centro Automotivo,ChIJ72VZF1-_uZQR2rPZ-nAOQSM,-21.1796558,-47.76560019999999,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
5,WL CENTRO AUTOMOTIVO RUA PEDRO BARBIERI 1240 PARQUE SÃO SEBASTIÃO RIBEIRÃO PRETO,ChIJN_a2aFLBuZQR4BGb7cFk_co,-21.1811155,-47.7403532,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
6,Hit Car Centro Automotivo,ChIJzxXOaLi_uZQRbZUgNgaxKxs,-21.1468289,-47.791619,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
7,Ampec Centro Automotivo Leve e Pesada,ChIJLx9J7K_BuZQR8Yr648Q9eEA,-21.1302775,-47.7426621,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
8,Quality Service RP - Centro Automotivo Ribeirão Preto,ChIJB5rfEO2-uZQRLmE2zsOfClE,-21.1842078,-47.8276301,4.4,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
9,João Car Centro Automotivo,ChIJFxNJq-mXuZQRcIZA73b41ec,-21.1365534,-47.8475483,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
10,Otimiza Centro Automotivo ltda,ChIJd-0ZHi2_uZQRHfMVDC-z9Eo,-21.2034902,-47.7957871,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
11,A R Cabelo Centro Automotivo,ChIJ-65fD6y_uZQRxYjd4_AWAQM,-21.1635838,-47.7969163,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
12,Centro Automotivo Rodrigues,ChIJw1KJNDW_uZQRMEcpU1H2K4g,-21.1445455,-47.8094179,4.6,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
13,Help Car Centro Automotivo,ChIJf-LnzRy_uZQR8M8Oc9wi3d4,-21.1776052,-47.8000502,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
14,Centro Técnico Automotivo Fabiano Multimarcas,ChIJg7qSE1W-uZQRZFaPenbGggM,-21.193426,-47.797714,4.6,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
15,Medeiros Centro Automotivo,ChIJo4eNrjG_uZQRMPgwAnY7rv8,-21.1727487,-47.8058314,4.7,"['car_repair', 'point_of_interest', 'store', 'establishment']",,,,,,
16,Checar Centro tecnico Automotivo,ChIJ3_SybbS_uZQR62XGHzKDu6c,-21.1552981,-47.8000169,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
17,Technical Automotive Center Star,ChIJf8dY2iO_uZQRTpgFZhFMEbI,-21.1894798,-47.7981414,4.2,"['car_repair', 'point_of_interest', 'store', 'establishment']",,,,,,
18,Rps Centro Automotivo,ChIJ69EnTpS_uZQRsVVYiSDBfMo,-21.136712,-47.7892745,0.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
19,Auto Estação Ar Condicionado Automotivo,ChIJN5ISkR6_uZQRB4RqfK2GleQ,-21.178226,-47.8007991,4.4,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
20,Gf Centro Automotivo,ChIJr7PocIa_uZQRFt-o_vgPXuE,-21.1450761,-47.7963466,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
21,Milorini Centro Automotivo,ChIJcSWdi9m_uZQRYClAUh3HxRQ,-21.2028687,-47.79640939999999,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
22,IR CENTRO AUTOMOTIVO,ChIJp9yemgqVuZQRm2NDeTEbRjA,-21.119486,-47.80993309999999,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
23,Formulacar Automotive Center,ChIJO2D-r_i-uZQRRSmak6xg4jU,-21.1709971,-47.8087841,2.3,"['local_government_office', 'store', 'car_repair', 'point_of_interest', 'establishment']",,,,,,
24,Rossato Centro Automotivo,ChIJV8E_l2q-uZQRIGmU6cl2tPg,-21.1581837,-47.8255824,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
25,Três Estrelas Centro Técnico Automotivo,ChIJq1rbxL2_uZQRrM9gD2Sq0fU,-21.1494966,-47.785163,4.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
26,Oliveira e Nunes Centro Automotivo,ChIJ26Bfuuy-uZQRB_70smrDTaQ,-21.1881322,-47.8222143,0.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
27,R2 Centro Automotivo,ChIJrU-__w2_uZQRCtCukSBE1EE,-21.1608157,-47.8008247,5.0,"['electronics_store', 'store', 'car_repair', 'point_of_interest', 'establishment']",,,,,,
28,Jm Car Centro Automotivo,ChIJ0-qTqmvAuZQR1OxjsFGmrsE,-21.1346053,-47.7465955,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
29,Original | Centro Automotivo Ribeirão Preto,ChIJi_wVFGi_uZQR7ph8RNoVLGA,-21.1779974,-47.8157723,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
30,WM centro automotivo,ChIJ5TFzbWu_uZQRx5-ro6rkxvo,-21.1403088,-47.81142759999999,0.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
