,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
0,JRIBEIRO CARNES - ACOUGUE,ChIJoaINPxG_uZQRddZNFZQeJS4,-21.1781772,-47.7898687,4.5,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
1,Caramuru Empório de Carnes,ChIJEQaFDpa_uZQRdp4Ha2CwVOM,-21.1881582,-47.82015639999999,4.9,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
2,Casa De Carnes Nossa Senhora Aparecida Do Zequinha Desde 1975,ChIJf80Mdmm-uZQRRTy-roM4mLw,-21.161948,-47.8255529,5.0,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
3,City Prime Casa de Carnes - Nobres - Churrascos - Temperados - Hambúrgueres - Gourmet,ChIJkcSNALq5uZQRMxcdZGwh7uI,-21.2161692,-47.7832814,5.0,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
4,Casa de Carnes Almir Rodrigues,ChIJsc8SvEu5uZQRRRjkPqE9_xE,-21.217598,-47.8263197,4.4,"['point_of_interest', 'food', 'store', 'establishment']",Casa de Carnes Almir Rodrigues,(16) 3623-1390,"Av. Braz Olaia Acosta, 2090 - Jardim Nova Alianca Sul, Ribeirão Preto - SP, 14026-040, Brazil",2.0,4.4,http://www.carnesalmirrodrigues.com.br/
5,Casa de Carnes Beto Romão,ChIJj_aJnLu_uZQRN-XzDRyIIhc,-21.1523172,-47.78911309999999,4.5,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
6,Casa de Carnes Rubinho Aurora,ChIJfVHGSl6-uZQRsbYBrvCvOrA,-21.1718666,-47.82192389999999,4.7,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
7,Total Carnes,ChIJUXCq8Z24uZQRzFmkKnvW3og,-21.2199588,-47.7643283,4.9,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
8,Sempreletto Central de Carnes Loja 1,ChIJR1y2Opi_uZQRF1SiPYdYgtA,-21.1460024,-47.8198119,4.2,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
9,J Roberto Carnes,ChIJjzNYC4m_uZQREZ2g8hcaB8s,-21.1800898,-47.7969545,5.0,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
10,Sempreletto Central de Carnes - Loja 04,ChIJG0d8VVu_uZQRhYjdxqz1dCw,-21.1648362,-47.7997171,3.8,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
11,Açougue do fumaça - Carnes Nobres - Carnes Temperadas,ChIJLcET5fW-uZQRYVOKhOF_R6k,-21.1738368,-47.8187445,5.0,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
12,Casa de Carnes Ipuã,ChIJJ83QYAy-uZQRwXz9Bn3BZJ4,-21.1570234,-47.8367334,5.0,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
13,Casa de Carnes Sal e Luz,ChIJNfszFiO_uZQRi_-x0eZKRwI,-21.1618654,-47.80155999999999,4.8,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
14,Casa de Carnes Pio XII,ChIJi-Qas5G-uZQRtkKR1v1WFvc,-21.1883672,-47.830395,4.3,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
15,Sempreletto Central de Carnes - Loja 03,ChIJ98M3KYi_uZQRyuKkI2MsRSE,-21.1700941,-47.8238426,3.9,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
16,mec carnes,ChIJFWKWJU2-uZQREYhwl-PTVUI,-21.206454,-47.8114971,5.0,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
17,Casa de Carnes Fernando,ChIJJRvEdju-uZQR3j_zGzj6U_Y,-21.1462559,-47.8172734,4.9,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
18,Flavio Rodrigues M. Roberts Noble Meat,ChIJX5PLzim_uZQRfXBSivJZMM4,-21.2000148,-47.8024222,4.7,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
19,quintino casa de carnes,ChIJgaO7brS_uZQRkmTc8po2HWM,-21.155921,-47.8026893,0.0,"['point_of_interest', 'food', 'store', 'establishment']",,,,,,
20,Sempreletto Central de Carnes Loja 2,ChIJr1EVxfuVuZQRXOR5MC1nMYI,-21.1380481,-47.8285705,3.5,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
21,Comercio de Carnes Interlagos,ChIJWTFqF4vBuZQR1ckNpiM1Zpc,-21.1878967,-47.75584790000001,4.2,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
22,Casa de Carne do Baianinho,ChIJiVkq6iG_uZQRra5cx4R0pxo,-21.1876902,-47.7993843,4.9,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
23,Candido's Carnes,ChIJWVIgVNm_uZQReWvZUYJZ17k,-21.2048332,-47.8057157,4.9,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
24,Central De Carnes Nova Jr,ChIJ15j-LoSVuZQRfuwirSv28Jw,-21.1270314,-47.8102288,4.8,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
25,Empório de Carnes Família Rodrigues,ChIJv3QhEsy4uZQREX2N8Ty2wmA,-21.2232507,-47.7867668,4.8,"['grocery_or_supermarket', 'store', 'food', 'point_of_interest', 'establishment']",,,,,,
26,House Meat May 1,ChIJ29edQ5O-uZQRxrjn9dvP3Mg,-21.188714,-47.823959,4.7,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
27,CASA DE CARNES DANIEL. Campos Eliseos,ChIJ21CE2CC_uZQRodQ25mtiKpI,-21.1639242,-47.7979691,4.8,"['store', 'food', 'point_of_interest', 'establishment']",,,,,,
