,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
0,Empório 136,ChIJQYbP27e5uZQRUboFMFwlIJY,-21.2248426,-47.76494710000001,4.1,"['liquor_store', 'meal_delivery', 'grocery_or_supermarket', 'bakery', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
1,Empório Rio Verde (mercado Municipal),ChIJA-cZUBC_uZQROCr2Oqo7TnM,-21.17407,-47.813178,5.0,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
2,Emporium Fiusa,ChIJvU5JsCu5uZQRU3OKqjjXBPs,-21.2112924,-47.8062668,4.7,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
3,Emporio recanto de Minas,ChIJX23BF1y-uZQR9_YjmDY8SX4,-21.1680499,-47.8190892,5.0,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
4,EMPÓRIO VITÓRIA,ChIJ2YQ9HIeVuZQRNqL4YkIvlKQ,-21.1218417,-47.8261662,4.9,"['bakery', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
5,Empório Rio mar,ChIJc6PnQfIqLIMROXTJFGm1Mio,-21.1678577,-47.830893,5.0,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
6,Empório do Pé,ChIJGcXyR6i_uZQR6DDcGq9kfyY,-21.1665837,-47.8257218,0.0,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
7,Emporium Goumert RP,ChIJwxscQEO_uZQR_uOhw-ef2Sk,-21.1837549,-47.7984733,5.0,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
8,Emporio Aroma e Sabor,ChIJV5SRvUq5uZQRavACk20gO2c,-21.2147295,-47.8231162,4.5,"['store', 'grocery_or_supermarket', 'point_of_interest', 'food', 'establishment']",,,,,,
9,Empório Paulista,ChIJmZruasy_uZQR5uSvSbnFPVw,-21.1524356,-47.8201052,4.8,"['convenience_store', 'store', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",,,,,,
10,Empório Bonfim,ChIJmf3gEQq5uZQRaH8i3cqbnvs,-21.2498848,-47.8186027,2.8,"['convenience_store', 'liquor_store', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
11,EMPÓRIO CASTELO,ChIJBbxLxke_uZQRGb0lpVFs1Xs,-21.1900073,-47.781741,4.6,"['bakery', 'store', 'restaurant', 'point_of_interest', 'food', 'establishment']",,,,,,
12,Empório da Roça,ChIJ-QO2_mq-uZQR8Rt6NpaMWZw,-21.1582827,-47.8251824,4.8,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
13,Empório Olivo Comida Bebida e Afeto,ChIJtdu77TS5uZQRA5h55x4ir9s,-21.2022985,-47.8009218,5.0,"['liquor_store', 'meal_delivery', 'grocery_or_supermarket', 'cafe', 'store', 'bar', 'restaurant', 'point_of_interest', 'food', 'establishment']",,,,,,
14,Empório Caipira,ChIJvVLVs67AuZQR0toaagyWyMI,-21.1880699,-47.7585766,4.7,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
15,Empório Ribeiro,ChIJXw5p-z6VuZQRFF9KuJ1WfVE,-21.1113484,-47.7970309,4.2,"['store', 'point_of_interest', 'food', 'establishment']",,,,,,
16,Empório da Roça,ChIJ5Y_87m2-uZQRxwkAEugGpqs,-21.16239,-47.8320377,5.0,"['store', 'health', 'point_of_interest', 'food', 'establishment']",,,,,,
17,Senhor Empório,ChIJl8pbZ7O_uZQRRdgIz5sjaec,-21.1658424,-47.836901,0.0,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
18,Empório Santa Isabel,ChIJnb_C5s2_uZQRw1lACQoomSk,-21.1812984,-47.8089599,5.0,"['grocery_or_supermarket', 'store', 'point_of_interest', 'food', 'establishment']",,,,,,
