,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
0,Auto Mecânica Maurinho,ChIJXy1YTCPBuZQRxBbtvkM9i9g,-21.1899032,-47.7584192,4.6,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
1,Zanim Mecânica,ChIJRVnGJh2_uZQRvafn9btpr6E,-21.1850731,-47.7894624,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
2,Mecânica Mantovani,ChIJmT2bF1e-uZQRa34258TrHgo,-21.1673508,-47.811167,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
3,Auto Mecânica Gentil,ChIJxZFeP2C_uZQRwUcAAITVD6o,-21.1654042,-47.82559149999999,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
4,Auto Mecânica Paquinha,ChIJMQV7f7S_uZQRVuleS_OsvQ4,-21.1534286,-47.8006389,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
5,Auto Mecânica Luizinho,ChIJAxCYaUu-uZQRg9VQRgaBBYY,-21.1538739,-47.8046515,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
6,Auto Mecânica Grecco,ChIJF8aw0q6_uZQRQRkCiCG2IZo,-21.1617813,-47.796381,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
7,Mecânica Jamil Junior,ChIJEfpzCUi-uZQRDBIcefNFZ7g,-21.1529234,-47.81331429999999,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
8,R.A Mecânica ( oficina mecânica ),ChIJ6-FUDVy_uZQRC516BrWO6z8,-21.1821588,-47.7700389,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
9,MECÂNICA E AUTO CENTER DINHANI,ChIJSZF3Ja24uZQRLEWXrlYLA9I,-21.1982825,-47.7715623,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
10,Auto Mecânica Nassaro,ChIJva5fD6y_uZQRREs_q4fYFr8,-21.1623005,-47.7989371,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
11,Auto Mecânica Lagoinha,ChIJt7oV-E2_uZQRdna9c9-BFuc,-21.194161,-47.773772,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
12,Auto Mecânica Simchryl,ChIJYWxAxeK_uZQR9RjzEMuTorI,-21.1782594,-47.8191462,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
13,Auto Mecânica Figueiredo,ChIJlVNMA_u_uZQRkyoFQ97v6UU,-21.1776037,-47.7896787,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
14,Mecânica Maciel,ChIJM9HcIVG_uZQRZzFOyO3J9GM,-21.1442236,-47.82120889999999,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
15,Auto Mecânica Porto Uniao,ChIJbbFvQBK-uZQRjb-P86oJSCk,-21.1545531,-47.8316689,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
