,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
0,Mineiro Delivery - Ribeirão Preto,ChIJVV7_DUO_uZQRSgBnAc60Dvg,-21.1456455,-47.8323064,5.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",Mineiro Delivery - Ribeirão Preto,(16) 3975-1396,"Av. Sen. Teotonio Vilela, 105 - Planalto Verde, Ribeirão Preto - SP, 14056-100, Brazil",1.0,5.0,https://www.mineirodelivery.com.br/
1,Fogão Mineiro,ChIJgRwlbvq-uZQRZkufI37K0tw,-21.17794,-47.81245200000001,4.5,"['restaurant', 'point_of_interest', 'food', 'establishment']",,,,,,
2,Frango Mineiro,ChIJXS35D1G_uZQRdIJ2SGx3qtY,-21.1906149,-47.7705582,4.3,"['restaurant', 'point_of_interest', 'food', 'establishment']",,,,,,
3,Mineiro'S Espetos & Porções,ChIJBTmS096_uZQRgW0WYIQ87hw,-21.163935,-47.8093595,4.6,"['restaurant', 'point_of_interest', 'food', 'establishment']",,,,,,
4,Pastel do mineiro,ChIJfTaWU_6VuZQRC30x6b-Utug,-21.1231165,-47.7816942,4.6,"['meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",,,,,,
5,Telepizza mineiro,ChIJGQ8A5Ei_uZQRG69PQCO9LoE,-21.1928772,-47.7800509,4.4,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",,,,,,
6,Recanto Do Mineiro,ChIJ18OTjp-4uZQR7Kp9zzUIF7Y,-21.2152786,-47.76535920000001,4.4,"['restaurant', 'point_of_interest', 'food', 'establishment']",,,,,,
7,Emporium Chico´s Mineiro,ChIJc8G1mueVuZQR2ILUIeKb0es,-21.1307008,-47.8167351,4.8,"['meal_takeaway', 'restaurant', 'point_of_interest', 'grocery_or_supermarket', 'store', 'food', 'establishment']",,,,,,
8,Mineiro Supermercado,ChIJC2DjfB-_uZQRWBH0-aVNN9M,-21.1558499,-47.76998409999999,4.6,"['supermarket', 'point_of_interest', 'grocery_or_supermarket', 'store', 'food', 'establishment']",,,,,,
9,Casa dos Assados TEMPERO MINEIRO,ChIJ_fQO_yi-uZQRkTwGOGA5nt8,-21.1350105,-47.81081529999999,0.0,"['restaurant', 'point_of_interest', 'food', 'establishment']",,,,,,
