,Place Name,ID_Field,Latitude,Longitude,Rating,Tags,Business,Phone,Address,price_level,rating,Website
0,Orion Mecânica e Oficina Automotiva,ChIJNfsrNB7BuZQRpXpYLtC93aQ,-21.1761612,-47.7601077,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
1,OtmaCar Oficina Mecânica,ChIJR-45G1e_uZQRp_0-2iuMPgI,-21.1666083,-47.8000087,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
2,Sampa Car Oficina Mecânica,ChIJj369T82_uZQROqgPRJyXfcw,-21.1388696,-47.81281269999999,4.1,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
3,Lopes Oficina | Mecânica,ChIJa5K29EC-uZQRT5-LPaJqGBA,-21.1557813,-47.8204187,4.8,"['car_repair', 'point_of_interest', 'store', 'establishment']",,,,,,
4,AUTO MECÂNICA WASHINGTON,ChIJEUxL7ae_uZQRbKSzVSOcZps,-21.1645907,-47.79184189999999,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
5,Mecânica MP Auto Center,ChIJc6WMiEy_uZQRAg3miKl9XUw,-21.1671472,-47.802763,5.0,"['car_repair', 'point_of_interest', 'store', 'establishment']",,,,,,
6,Platina Oficina Mecânica,ChIJneD0o1y5uZQRgsbrsSaI_VU,-21.2046529,-47.7945575,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
7,Oficina Mecânica na Bananal - A Oficina,ChIJYz5fiCm_uZQRg1yADPuyE3Q,-21.1824977,-47.7733827,4.3,"['car_repair', 'point_of_interest', 'store', 'establishment']",,,,,,
8,Car Service Mecânica de Autos,ChIJQ-Gu_0y_uZQRCBCb5qovMwg,-21.1503259,-47.7980481,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
9,Oficina Auto Mecanica,ChIJXQmgvVK_uZQRRD_FOtJfOdY,-21.1982915,-47.7715501,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
10,Oficina Mecânica Car Service,ChIJl6bTN0O_uZQRqNGw7vdlUCo,-21.19196,-47.7791438,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
11,Oficina.87,ChIJPWdHOSKVuZQReEn55rjZ7Kc,-21.1151447,-47.8279022,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
12,Cn Oficina Mecânica,ChIJAaY83Vu_uZQRwUujuXcBkK4,-21.1840134,-47.768851,4.1,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
13,Oficina Mecânica Barbosa Auto Service,ChIJNyVRCQm_uZQRI8iNhwnAsq8,-21.1869961,-47.8352072,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
14,WL Auto Mechanics,ChIJtZI48R-_uZQRFN9BfC73mzw,-21.1874356,-47.80218420000001,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
15,Auto Mecânica Wollicar,ChIJra76D5S-uZQRQWnVZqwLD4o,-21.2016193,-47.8230432,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
16,Oficina Mecânica Frajola,ChIJM76My7O5uZQREfAulCYOY2M,-21.1834839,-47.761093,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
17,Dino Auto Mecânica de Precisão em Multimarcas,ChIJD2gRKCq_uZQRiypMN9zk7vA,-21.2018833,-47.8013103,4.6,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
18,Massaro Auto,ChIJFb7iAuu-uZQRE8JCs2OVOGs,-21.1908416,-47.8210394,4.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
19,MC Soluções,ChIJ8e5jIrK_uZQRvpl9ckqRmR8,-21.2022065,-47.7955128,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
20,CaramuruCAR,ChIJUfStheu-uZQRy2rxfUwSP8c,-21.18708,-47.819692,4.5,"['electrician', 'car_repair', 'store', 'point_of_interest', 'establishment']",,,,,,
21,Oficina do Paizão,ChIJE-r3CXa-uZQRI-m9X7DNiFw,-21.1660028,-47.8419169,4.6,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
22,Zucoloto Mecânica Automotiva,ChIJnbiFPFG-uZQRuRJSPAzqIuA,-21.1649017,-47.809945,4.6,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
23,Oficina Maranello Motors,ChIJEd9937O4uZQR76Dy10NYfNI,-21.203604,-47.777338,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
24,Voltecnica Oficina Especializada Volkswagem,ChIJCat01qu_uZQR5PKEkAieBok,-21.1644626,-47.7984199,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
25,Oficina Corral Milena,ChIJeUzVEf6-uZQRkeODqFxqAZE,-21.1732984,-47.8039341,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
26,NAVES CENTRO AUTOMOTIVO MECÂNICA DE PRECISÃO,ChIJ2dWoivS-uZQRw7wvqxtzfDY,-21.1741381,-47.8414432,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
27,Rodolfo Sircilli Neto M E,ChIJXRZloR6_uZQRESoaLpbTRIs,-21.1822764,-47.7997283,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
28,Auto Mecânica Rápida,ChIJdYvms2S-uZQRLdGe8gg3K7Q,-21.1720207,-47.8325881,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
29,R.A Mecânica ( oficina mecânica ),ChIJ6-FUDVy_uZQRC516BrWO6z8,-21.1821588,-47.7700389,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
30,Auto Mecânica Simchryl,ChIJYWxAxeK_uZQR9RjzEMuTorI,-21.1782594,-47.8191462,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
31,DS'CARS OFICINA MECÂNICA,ChIJFYcq2NrBuZQReyCnZOxiXqw,-21.1809776,-47.7338204,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
32,Giron Mecânica Automotiva,ChIJIyh887m4uZQRg06xBfDFtdc,-21.209774,-47.7792047,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
33,Auto Power Oficina Mecânica,ChIJ9xkbaPa_uZQRauUSCgbazR0,-21.1740823,-47.83372480000001,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
34,Auto Mecânica Brich,ChIJ-4EWrz-5uZQRMKoAC6t68nU,-21.2057057,-47.7936882,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
35,LCN Auto Mecânica,ChIJZxtf7Xi_uZQRNEP8kK4tHyQ,-21.1561783,-47.8025536,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
36,Oficina Mecânica Afc,ChIJj4A9ogi_uZQRC9rC-tqM-bI,-21.1693426,-47.7928372,4.5,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
37,Marfe Auto Mecanica,ChIJhVTKbbS_uZQRXxIoJTLPpuU,-21.1524371,-47.7998013,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
38,Mecânica Ogawa,ChIJeW7yRUi_uZQRmXvj1FIvbC4,-21.1928227,-47.78188859999999,4.8,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
39,Full Motors | Oficina Mecânica | Auto Center | Ribeirão Preto/SP,ChIJL06wEz2_uZQR9ybBfxSpdW4,-21.1731284,-47.785706,4.7,"['car_repair', 'store', 'point_of_interest', 'establishment']",,,,,,
40,Otimiza Centro Automotivo ltda,ChIJd-0ZHi2_uZQRHfMVDC-z9Eo,-21.2034902,-47.7957871,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
41,Neasa Automotiva,ChIJ2fI7Vqq_uZQRu5FQUt2iKiE,-21.165901,-47.8007331,0.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
42,AUTO CAR OFICINA MECÂNICA EM GERAL,ChIJAcQuO_y_uZQRgO5zA0zfs_g,-21.17748,-47.8204407,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
43,Celso oficina,ChIJ31VGq06_uZQRQ5OBO3IaQ6Q,-21.175052,-47.8038391,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
44,Car Works,ChIJ5WsIV7S_uZQRfRvGOebMQTI,-21.1778643,-47.7994303,5.0,"['car_dealer', 'car_repair', 'store', 'point_of_interest', 'establishment']",,,,,,
45,Poliservice Centro Automotivo,ChIJI0DXKf--uZQRGMMaBUizS7c,-21.1723407,-47.8076938,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
46,Auto Mecânica Siscati,ChIJd-9rYDS-uZQR0Z95xrVFv9E,-21.1464754,-47.8058915,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
47,Oficina mecanica,ChIJ44LZFiHBuZQRUvpOS8GYwcI,-21.1658517,-47.7393976,0.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
48,Slick Veículos Oficina Mecânica Carros Importados / SlickParts,ChIJO2aMhjy_uZQRjYrI1ADYuYs,-21.1885968,-47.79115059999999,4.5,"['car_repair', 'store', 'point_of_interest', 'establishment']",,,,,,
49,AUTO MECÂNICA LUTH CAR SERVICE,ChIJezs9eZ-_uZQRwuxehpYwkaI,-21.1687703,-47.8112943,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
50,Oficina Rocar,ChIJZeCBDdC_uZQRqRfck0ryPtc,-21.1493194,-47.8130677,4.5,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
51,"A Oficina - Amortecedor, Freio, Correia Dentada e Oficina Mecânica",ChIJK1ArDFPBuZQRFB1J6fm31XQ,-21.1883776,-47.7582466,4.4,"['car_repair', 'store', 'point_of_interest', 'establishment']",,,,,,
52,Lopes Auto Service,ChIJ8yTEr0G-uZQRtd62Kbog1P0,-21.1578987,-47.8211214,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
53,ALMA Serviços Automotivos,ChIJoY5PiRy_uZQRR3uBILMLnqY,-21.2130968,-47.7967822,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
54,AUTO MECÂNICA LUTH CAR SERVICE,ChIJRZx7O6q_uZQRdC4POFV4Gf4,-21.1921359,-47.82786369999999,4.9,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
55,Gf Centro Automotivo,ChIJr7PocIa_uZQRFt-o_vgPXuE,-21.1450761,-47.7963466,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
56,Auto Sprint oficina,ChIJbZMoF1G_uZQRHhjXn4D2USs,-21.1906761,-47.7701057,4.5,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
57,Oficina mecanica rota 66,ChIJ3997_Ua_uZQRWce8ms1CktU,-21.1878713,-47.8236176,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
58,Sicar Auto Center,ChIJkc33yEC_uZQRDKE3G-62MJA,-21.185809,-47.7820876,4.7,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
59,Auto Mecânica Cerri,ChIJta4Xem-_uZQRnogZG-cX9zg,-21.1682961,-47.8093229,5.0,"['car_repair', 'point_of_interest', 'establishment']",,,,,,
